size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
20271,10000,2,0,0.092363,0.092305,0.092387,0.092251,0.09227,0.092268,0.015263,0.015379,0.015302,0.015299,0.015391,0.016357,0,0,0,0,0,0,100
20271,10000,2,0,0.051873,0.051836,0.051831,0.051809,0.0518,0.051845,0.015308,0.016549,0.015259,0.015333,0.015352,0.015284,0,0,0,0,0,0,50
20271,10000,2,1,0.091829,0.091851,0.091841,0.091823,0.091856,0.091946,0.014874,0.014917,0.014848,0.014922,0.014882,0.014836,0,0,0,0,0,0,100
20271,10000,2,1,0.052429,0.052497,0.052434,0.052487,0.052499,0.052422,0.014967,0.014887,0.014946,0.014892,0.015041,0.014846,0,0,0,0,0,0,50
22804,10000,0,0,0.104211,0.104168,0.10417,0.104275,0.104159,0.104137,0.017197,0.01752,0.017237,0.017134,0.017261,0.017183,0,0,0,0,0,0,100
22804,10000,0,0,0.057264,0.05725,0.057233,0.057297,0.057314,0.057257,0.017213,0.017218,0.017188,0.017422,0.017189,0.017178,0,0,0,0,0,0,50
22804,10000,0,1,0.105668,0.105663,0.105764,0.105682,0.105851,0.105692,0.016746,0.017161,0.016738,0.016746,0.016797,0.016678,0,0,0,0,0,0,100
22804,10000,0,1,0.058949,0.058973,0.058915,0.058923,0.058924,0.05895,0.016729,0.017066,0.017276,0.016705,0.017527,0.016778,0,0,0,0,0,0,50
22804,10000,1,0,0.10532,0.105335,0.105271,0.105237,0.105241,0.105389,0.015633,0.015589,0.015841,0.015756,0.015992,0.015585,0,0,0,0,0,0,100
22804,10000,1,0,0.057507,0.057433,0.057437,0.057448,0.057442,0.057447,0.015718,0.015859,0.015913,0.01575,0.015591,0.015781,0,0,0,0,0,0,50
22804,10000,1,1,0.103789,0.103699,0.103692,0.103695,0.10374,0.103697,0.012926,0.012378,0.012261,0.012346,0.012313,0.012243,0,0,0,0,0,0,100
22804,10000,1,1,0.057663,0.057628,0.057664,0.057627,0.057626,0.057639,0.012303,0.012309,0.012367,0.012294,0.012389,0.012603,0,0,0,0,0,0,50
22804,10000,2,0,0.104059,0.104166,0.104051,0.104075,0.10419,0.104144,0.017187,0.017206,0.017174,0.017204,0.017223,0.017212,0,0,0,0,0,0,100
22804,10000,2,0,0.056677,0.056653,0.056677,0.056638,0.056597,0.05667,0.017205,0.017245,0.017202,0.017253,0.017187,0.0172,0,0,0,0,0,0,50
22804,10000,2,1,0.104846,0.104752,0.104759,0.104787,0.104859,0.104781,0.016688,0.016695,0.017406,0.016707,0.016705,0.016692,0,0,0,0,0,0,100
22804,10000,2,1,0.056662,0.056709,0.056691,0.05668,0.056759,0.05668,0.016734,0.01669,0.016709,0.016777,0.016678,0.016703,0,0,0,0,0,0,50
25654,10000,0,0,0.117851,0.117795,0.11785,0.117675,0.117646,0.117903,0.019387,0.019298,0.019335,0.019333,0.019289,0.019313,0,0,0,0,0,0,100
25654,10000,0,0,0.063946,0.063947,0.063928,0.063889,0.063891,0.063888,0.019342,0.019362,0.019487,0.019308,0.019311,0.019315,0,0,0,0,0,0,50
25654,10000,0,1,0.117341,0.117299,0.117311,0.117401,0.117228,0.117265,0.018835,0.01878,0.018751,0.018846,0.018841,0.01875,0,0,0,0,0,0,100
25654,10000,0,1,0.065449,0.065397,0.065376,0.065451,0.065465,0.065386,0.01887,0.018786,0.018801,0.018827,0.018759,0.018834,0,0,0,0,0,0,50
25654,10000,1,0,0.117716,0.117708,0.11771,0.117663,0.117737,0.117692,0.018421,0.017559,0.018616,0.017686,0.017562,0.017655,0,0,0,0,0,0,100
25654,10000,1,0,0.064803,0.064785,0.064811,0.064766,0.064779,0.064795,0.017546,0.01754,0.017733,0.017925,0.017537,0.017536,0,0,0,0,0,0,50
25654,10000,1,1,0.11759,0.117586,0.117553,0.117625,0.117675,0.1178,0.013939,0.013915,0.013938,0.013791,0.013849,0.013854,0,0,0,0,0,0,100
25654,10000,1,1,0.064884,0.064863,0.064864,0.064873,0.064915,0.06486,0.013856,0.013891,0.013807,0.013824,0.014101,0.013804,0,0,0,0,0,0,50
25654,10000,2,0,0.117639,0.117638,0.11754,0.117644,0.11764,0.11757,0.019303,0.019326,0.019348,0.01936,0.020153,0.019271,0,0,0,0,0,0,100
