size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
32467,10000,1,1,0.065121,0.065152,0.063601,0.064996,0.06526,0.064317,0.018803,0.017456,0.017629,0.01748,0.017419,0.017575,0,0,0,0,0,0,50
32467,10000,2,0,0.115279,0.115793,0.115396,0.113181,0.116593,0.117492,0.024496,0.024413,0.024459,0.024456,0.024486,0.024445,0,0,0,0,0,0,100
32467,10000,2,0,0.062323,0.063209,0.063149,0.064845,0.063617,0.063984,0.024459,0.024446,0.02456,0.024454,0.024416,0.02448,0,0,0,0,0,0,50
32467,10000,2,1,0.119106,0.117689,0.115927,0.119058,0.118294,0.116834,0.023723,0.023706,0.024149,0.023723,0.023729,0.023717,0,0,0,0,0,0,100
32467,10000,2,1,0.063064,0.063471,0.062943,0.063299,0.063885,0.063287,0.023751,0.023732,0.023691,0.023767,0.023852,0.023681,0,0,0,0,0,0,50
36525,10000,0,0,0.12993,0.131104,0.130136,0.130081,0.131137,0.133477,0.027596,0.027644,0.027662,0.02759,0.027926,0.027606,0,0,0,0,0,0,100
36525,10000,0,0,0.070901,0.070105,0.069369,0.06969,0.071079,0.070842,0.027974,0.027566,0.027637,0.027652,0.027684,0.027654,0,0,0,0,0,0,50
36525,10000,0,1,0.131717,0.131508,0.1331,0.131606,0.13072,0.130621,0.026852,0.026946,0.026873,0.02689,0.026899,0.026862,0,0,0,0,0,0,100
36525,10000,0,1,0.070264,0.070513,0.070136,0.070795,0.069966,0.071624,0.026917,0.026888,0.026858,0.026972,0.026965,0.026941,0,0,0,0,0,0,50
36525,10000,1,0,0.132822,0.132967,0.130316,0.131618,0.131608,0.131879,0.025144,0.025205,0.025472,0.025147,0.02541,0.025171,0,0,0,0,0,0,100
36525,10000,1,0,0.069239,0.068628,0.069768,0.06874,0.06937,0.068138,0.025214,0.025146,0.025131,0.02531,0.025821,0.025143,0,0,0,0,0,0,50
36525,10000,1,1,0.133645,0.132152,0.133366,0.131434,0.132945,0.130883,0.019972,0.020131,0.019859,0.019761,0.019839,0.019736,0,0,0,0,0,0,100
36525,10000,1,1,0.070299,0.069979,0.070207,0.07062,0.071007,0.071199,0.019815,0.020047,0.020169,0.019765,0.019814,0.019858,0,0,0,0,0,0,50
36525,10000,2,0,0.131415,0.132319,0.129865,0.130961,0.13324,0.131944,0.027724,0.027927,0.02785,0.027731,0.027588,0.027569,0,0,0,0,0,0,100
36525,10000,2,0,0.069512,0.068975,0.068658,0.0701,0.069437,0.06863,0.027654,0.027605,0.027615,0.027621,0.027639,0.027615,0,0,0,0,0,0,50
36525,10000,2,1,0.133423,0.132327,0.1338,0.134032,0.132606,0.131485,0.026802,0.026857,0.026808,0.026811,0.026779,0.026932,0,0,0,0,0,0,100
36525,10000,2,1,0.070389,0.071074,0.070903,0.071874,0.070186,0.072147,0.026809,0.026765,0.026872,0.026869,0.026788,0.026778,0,0,0,0,0,0,50
41090,10000,0,0,0.148699,0.148652,0.150285,0.149173,0.14749,0.150768,0.031,0.03102,0.031032,0.031336,0.031103,0.030996,0,0,0,0,0,0,100
41090,10000,0,0,0.079156,0.078569,0.078881,0.080076,0.079782,0.079813,0.031229,0.031265,0.030964,0.030999,0.031063,0.031033,0,0,0,0,0,0,50
