size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
18019,10000,2,0,0.082349,0.082377,0.082464,0.082363,0.082397,0.08235,0.01366,0.01365,0.013597,0.01358,0.01358,0.013658,0,0,0,0,0,0,100
18019,10000,2,0,0.047112,0.047078,0.047114,0.047098,0.047088,0.0471,0.013618,0.014916,0.013608,0.013628,0.014398,0.013649,0,0,0,0,0,0,50
18019,10000,2,1,0.082946,0.082937,0.082981,0.082954,0.082903,0.082936,0.013264,0.013362,0.013204,0.013196,0.014328,0.01322,0,0,0,0,0,0,100
18019,10000,2,1,0.047695,0.047646,0.047657,0.047654,0.047656,0.047677,0.013218,0.013355,0.013189,0.013217,0.013202,0.013228,0,0,0,0,0,0,50
20271,10000,0,0,0.092602,0.092591,0.092638,0.092578,0.092627,0.092581,0.015319,0.015493,0.015319,0.015306,0.015325,0.015283,0,0,0,0,0,0,100
20271,10000,0,0,0.053211,0.053204,0.053244,0.053187,0.053278,0.053198,0.015301,0.015278,0.015287,0.015296,0.015258,0.015268,0,0,0,0,0,0,50
20271,10000,0,1,0.092804,0.092857,0.092899,0.092826,0.092988,0.092933,0.015163,0.014942,0.014888,0.014933,0.014912,0.014891,0,0,0,0,0,0,100
20271,10000,0,1,0.052929,0.052928,0.052927,0.052968,0.052923,0.052941,0.014893,0.0149,0.014916,0.014834,0.014991,0.014883,0,0,0,0,0,0,50
20271,10000,1,0,0.093363,0.093234,0.093374,0.093197,0.093205,0.093222,0.013891,0.013866,0.013848,0.013866,0.013875,0.013825,0,0,0,0,0,0,100
20271,10000,1,0,0.052273,0.052307,0.052351,0.052294,0.052273,0.052296,0.014025,0.013871,0.013864,0.013822,0.014001,0.0139,0,0,0,0,0,0,50
20271,10000,1,1,0.093404,0.093406,0.093505,0.093362,0.093376,0.093366,0.011887,0.011034,0.010964,0.010959,0.010924,0.011021,0,0,0,0,0,0,100
20271,10000,1,1,0.052136,0.052133,0.052134,0.052116,0.052226,0.052091,0.010974,0.01109,0.010936,0.010945,0.010911,0.010911,0,0,0,0,0,0,50
20271,10000,2,0,0.092985,0.092971,0.092921,0.092893,0.092917,0.092866,0.015262,0.015285,0.015385,0.015293,0.015281,0.015283,0,0,0,0,0,0,100
