row,size,numberQueries,dataDistribution,compressedTimes,uncompressedTimes,y
382,160000,10000,1,3.61798,3.62424,True
383,160000,10000,2,33.7807,34.0101,True
384,160000,10000,0,33.8398,34.1683,True
385,160000,10000,1,3.68821,3.68383,False
386,160000,10000,2,34.1429,34.1761,True
387,160000,10000,0,33.9858,34.0607,True
388,160000,10000,1,3.56165,3.60639,True
389,160000,10000,2,33.6617,33.7313,True
390,160000,10000,0,33.6581,33.4517,False
391,160000,10000,1,3.58655,3.66274,True
392,160000,10000,2,33.334,34.0609,True
393,160000,10000,0,33.3456,33.9196,True
394,160000,10000,1,3.57134,3.53641,False
395,160000,10000,2,33.5127,33.3155,False
396,160000,10000,0,33.3955,33.9998,True
397,160000,10000,1,3.61104,3.61681,True
398,160000,10000,2,33.92,33.8852,False
399,160000,10000,0,33.9413,33.8805,False
400,160000,10000,1,3.56547,3.54724,False
401,160000,10000,2,33.877,33.6184,False
402,160000,10000,0,33.7417,33.719,False
403,160000,10000,1,3.60424,3.59932,False
404,160000,10000,2,33.4231,33.572,True
405,160000,10000,0,33.564,33.346,False
406,160000,10000,1,3.65624,3.58542,False
407,160000,10000,2,33.5865,32.9953,False
408,160000,10000,0,33.5396,33.9363,True
409,160000,10000,1,3.5655,3.5889,True
410,160000,10000,2,33.8589,34.0841,True
411,160000,10000,0,33.8996,33.6626,False
412,160000,10000,1,3.69336,3.57825,False
413,160000,10000,2,33.7775,33.7773,False
414,160000,10000,0,33.859,33.726,False
415,160000,10000,1,3.54134,3.59992,True
416,160000,10000,2,34.0891,33.6063,False
417,160000,10000,0,33.44,33.2149,False
418,160000,10000,1,3.60385,3.57772,False
419,160000,10000,2,33.896,33.7426,False
420,160000,10000,0,33.7139,33.7784,True
421,160000,10000,1,3.59439,3.63192,True
422,160000,10000,2,33.8069,33.6943,False
423,160000,10000,0,33.9198,33.6976,False
424,160000,10000,1,3.63855,3.57284,False
425,160000,10000,2,33.7536,33.7074,False
426,160000,10000,0,33.7349,32.9927,False
427,160000,10000,1,3.55391,3.59662,True
428,160000,10000,2,33.6561,33.4759,False
429,160000,10000,0,33.3218,33.663,True
430,160000,10000,1,3.60589,3.60497,False
431,160000,10000,2,33.6335,33.6884,True
432,160000,10000,0,33.9576,33.5649,False
433,160000,10000,1,3.65518,3.62443,False
434,160000,10000,2,34.0295,33.7439,False
435,160000,10000,0,33.7261,34.2293,True
436,160000,10000,1,3.49908,3.61776,True
437,160000,10000,2,33.4195,33.705,True
438,160000,10000,0,33.884,33.9654,True
439,160000,10000,1,3.58118,3.56857,False
440,160000,10000,2,33.7864,33.5622,False
441,160000,10000,0,33.4909,33.4561,False
442,160000,10000,1,3.55019,3.52224,False
443,160000,10000,2,33.0398,33.1367,True
444,160000,10000,0,33.6285,33.2887,False
445,160000,10000,1,3.5348,3.54233,True
446,160000,10000,2,32.8472,33.4586,True
447,160000,10000,0,33.6292,33.0509,False
448,160000,10000,1,3.49113,3.55826,True
449,160000,10000,2,32.9463,33.152,True
450,160000,10000,0,33.9339,34.3705,True
451,160000,10000,1,3.64208,3.65046,True
452,160000,10000,2,33.9789,34.6574,True
453,160000,10000,0,33.654,33.627,False
454,160000,10000,1,3.55494,3.63747,True
455,160000,10000,2,33.7057,33.9775,True
456,160000,10000,0,33.6941,33.9223,True
457,160000,10000,1,3.62202,3.57169,False
458,160000,10000,2,33.8809,33.9181,True
459,160000,10000,0,33.5096,33.8335,True
460,160000,10000,1,3.66681,3.7222,True
461,160000,10000,2,33.846,33.9112,True
462,160000,10000,0,33.8177,33.6119,False
463,160000,10000,1,3.70128,3.65605,False
464,160000,10000,2,33.8482,33.6805,False
465,160000,10000,0,33.7024,33.7965,True
466,160000,10000,1,3.61466,3.63468,True
467,160000,10000,2,33.4982,33.2783,False
468,160000,10000,0,33.5291,33.2917,False
469,160000,10000,1,3.60392,3.53948,False
470,160000,10000,2,33.5439,33.5176,False
471,160000,10000,0,33.6219,33.1134,False
472,160000,10000,1,3.53963,3.5176,False
473,160000,10000,2,33.1515,33.0026,False
474,160000,10000,0,33.2164,33.1273,False
475,160000,10000,1,3.55127,3.58931,True
476,160000,10000,2,32.9103,33.3148,True
477,160000,10000,0,33.1457,33.8171,True
478,160000,10000,1,3.48168,3.49635,True
479,160000,10000,2,33.2595,33.9017,True
480,160000,10000,0,33.9566,33.4851,False
481,160000,10000,1,3.5924,3.54447,False
482,160000,10000,2,33.5989,33.4485,False
483,160000,10000,0,33.3616,33.0431,False
484,160000,10000,1,3.54089,3.55379,True
485,160000,10000,2,33.2048,33.0936,False
486,160000,10000,0,33.1651,33.3343,True
487,160000,10000,1,3.5837,3.57924,False
488,160000,10000,2,33.5998,33.215,False
489,160000,10000,0,33.2133,33.2719,True
490,160000,10000,1,3.58074,3.50781,False
491,160000,10000,2,33.2867,33.8124,True
492,160000,10000,0,33.3535,33.3677,True
493,160000,10000,1,3.5394,3.5509,True
494,160000,10000,2,33.2144,33.2191,True
495,160000,10000,0,33.3385,32.997,False
496,160000,10000,1,3.5361,3.49068,False
497,160000,10000,2,33.2157,33.5291,True
498,160000,10000,0,33.5129,33.1405,False
499,160000,10000,1,3.54528,3.50584,False
500,160000,10000,2,33.238,33.7746,True
501,160000,10000,0,32.576,32.3658,False
502,160000,10000,1,3.47222,3.41641,False
503,160000,10000,2,32.1109,32.5721,True
504,160000,10000,0,32.4189,32.5049,True
505,160000,10000,1,3.44303,3.45851,True
506,160000,10000,2,32.6632,32.7567,True
507,160000,10000,0,32.2062,32.5036,True
508,160000,10000,1,3.48516,3.42707,False
509,160000,10000,2,32.4379,32.7914,True
510,160000,10000,0,32.1959,32.5365,True
511,160000,10000,1,3.48189,3.48459,True
512,160000,10000,2,32.5593,32.4171,False
513,160000,10000,0,32.9215,32.5679,False
514,160000,10000,1,3.4808,3.52921,True
515,160000,10000,2,33.9511,34.4331,True
516,160000,10000,0,34.2698,34.1421,False
517,160000,10000,1,3.64891,3.67887,True
518,160000,10000,2,34.5473,34.5068,False
519,160000,10000,0,34.3732,34.2362,False
520,160000,10000,1,3.73371,3.74643,True
521,160000,10000,2,34.5973,34.5885,False
522,160000,10000,0,34.1001,34.5378,True
523,160000,10000,1,3.73378,3.70962,False
524,160000,10000,2,33.9575,33.9284,False
525,160000,10000,0,34.2357,34.2976,True
526,160000,10000,1,3.69188,3.67715,False
527,160000,10000,2,34.3391,34.1117,False
528,160000,10000,0,34.4379,34.3525,False
529,160000,10000,1,3.67419,3.65002,False
530,160000,10000,2,34.311,34.497,True
531,160000,10000,0,34.273,34.0857,False
532,160000,10000,1,3.65213,3.69211,True
533,160000,10000,2,34.3071,34.6167,True
534,160000,10000,0,34.3103,34.3146,True
535,160000,10000,1,3.67853,3.64846,False
536,160000,10000,2,34.4152,34.1565,False
537,160000,10000,0,34.0423,34.256,True
538,160000,10000,1,3.77396,3.68066,False
539,160000,10000,2,34.3971,34.3221,False
540,160000,10000,0,34.6538,34.7226,True
541,160000,10000,1,3.65581,3.6511,False
542,160000,10000,2,34.2995,34.124,False
543,160000,10000,0,34.2565,34.2606,True
544,160000,10000,1,3.70196,3.70924,True
545,160000,10000,2,34.6524,34.1639,False
546,160000,10000,0,34.3575,34.2978,False
547,160000,10000,1,3.64903,3.66432,True
548,160000,10000,2,34.4111,34.4068,False
549,160000,10000,0,34.3749,34.4076,True
550,160000,10000,1,3.7173,3.64965,False
551,160000,10000,2,34.3585,34.3428,False
552,160000,10000,0,34.2368,34.4,True
553,160000,10000,1,3.66667,3.6648,False
554,160000,10000,2,34.2913,34.3454,True
555,160000,10000,0,34.5883,34.4294,False
556,160000,10000,1,3.67509,3.71043,True
557,160000,10000,2,34.3958,34.2352,False
558,160000,10000,0,34.4233,34.0777,False
559,160000,10000,1,3.63639,3.68529,True
560,160000,10000,2,34.1591,34.1369,False
561,160000,10000,0,34.3168,34.8115,True
562,160000,10000,1,3.72367,3.67092,False
563,160000,10000,2,34.2787,34.1241,False
564,160000,10000,0,34.3316,34.4717,True
